dish_name,description,flavor,similar_japanese_dish,ingredients,img_path,category,region,allergy,,,descript_vietnamese
Cơm Tấm|Com Tam,"Cơm tấm là món ăn nổi tiếng của người miền Nam, với cơm nấu từ gạo tấm, ăn kèm với sườn nướng, bì, chả và các loại rau sống. Món ăn này có hương vị đậm đà, hòa quyện giữa vị ngọt của thịt nướng và chua ngọt của các loại gia vị. Cơm tấm là món ăn phổ biến trong các quán ăn vặt hoặc các bữa ăn gia đình. Món ăn này rất được yêu thích nhờ sự kết hợp hoàn hảo giữa các nguyên liệu tươi ngon.|ブロークン ライスは南部の人々の有名な料理で、砕いた米から炊いたご飯に、焼いたスペアリブ、豚の皮、ソーセージ、生野菜を添えて食べます。焼いた肉の甘みとスパイスの甘酸っぱさが溶け合った濃厚な味わいの料理です。砕いた米はスナックバーや家族の食事で人気の料理です。この料理は、新鮮な食材の完璧な組み合わせにより非常に人気があります。","Thơm mùi nướng, hài hòa vị mặn và ngọt|香ばしい焼きの香りと甘み・塩味の調和",Donburi|丼,"Gạo tấm, sườn nướng, bì, chả trứng, nước mắm|砕き米、焼きスペアリブ、ビーフン、卵焼き、魚醤",https://upload.wikimedia.org/wikipedia/commons/b/b0/C%C6%A1m_T%E1%BA%A5m%2C_Da_Nang%2C_Vietnam.jpg,Món Chính|主菜,Tất cả|全部,Không có|ない,,,
Bánh Mì|Banh Mi,"Bánh mì là món ăn phổ biến của Việt Nam, được làm từ bánh mì baguette, có thể kẹp với các loại nhân như thịt, pate, chả lụa, hoặc rau củ. Món ăn này có hương vị đậm đà, dễ ăn, thích hợp cho bữa sáng hoặc bữa trưa. Bánh mì thường được ăn kèm với gia vị như tương ớt, dưa leo, rau mùi. Đây là món ăn nhanh nhưng vô cùng thơm ngon và dễ dàng tìm thấy ở mọi ngóc ngách của Việt Nam.|バインミーはバゲットで作られ、肉、パテ、ハム、野菜などを詰めた人気のベトナム料理です。この料理は風味豊かで食べやすく、朝食や昼食に適しています。パンはチリソース、キュウリ、コリアンダーなどの調味料と一緒に食べられることが多いです。これは手早く作れるのに非常に美味しい料理で、ベトナムのあらゆる場所で簡単に見つけることができます。","Giòn, đậm đà, tươi mát|サクサクして濃厚で爽やか",Katsu Sandwich|カツサンド,"Bánh mì, thịt lợn nướng hoặc nguội, pate, dưa leo, đồ chua, rau mùi|バゲット、焼き豚または冷肉、パテ、キュウリ、なます、香菜",https://upload.wikimedia.org/wikipedia/commons/0/0c/B%C3%A1nh_m%C3%AC_th%E1%BB%8Bt_n%C6%B0%E1%BB%9Bng.png,Món Chính|主,Kanto|関東,Không có|ない,,,
Bánh Cuốn|Banh Cuon,"Bánh cuốn là món ăn sáng nổi tiếng của người miền Bắc, gồm lớp vỏ bánh mỏng, mềm, nhân là thịt xay, nấm và mộc nhĩ. Món ăn này thường được ăn kèm với chả lụa, hành phi và nước mắm chua ngọt. Bánh cuốn có hương vị nhẹ nhàng, thơm ngon, rất dễ ăn và bổ dưỡng. Đây là món ăn được yêu thích trong các bữa sáng hoặc các dịp tụ họp gia đình.|バイン・チュオンは、薄くて柔らかい生地にひき肉、キノコ、キクラゲを詰めた北部の人々の有名な朝食料理です。この料理は通常、豚肉のロール、揚げた玉ねぎ、甘酸っぱい魚醤と一緒に出されます。バイン・チュオンは軽くて美味しい味で、食べやすく栄養価も高いです。朝食や家族の集まりに人気の料理です。","Mềm, thơm, nhẹ nhàng|柔らかく香り高く、軽い",Mochi gyoza|餅餃子,"Bột gạo, thịt lợn băm, nấm mèo, hành phi, nước mắm, chả lụa|米粉、豚挽肉、木耳、フライドオニオン、魚醤、チャールア",https://upload.wikimedia.org/wikipedia/commons/8/8c/Banh_Cuon_VN.jpg,Món Chính|主菜,Tohoku|東北,Không có|ない,,,
Thịt Kho Tàu|Thit Kho Tau,"Thịt kho tàu là món ăn quen thuộc của người Việt, với thịt heo kho trong nước dừa, tạo nên màu sắc vàng nâu bắt mắt. Món ăn này có hương vị đậm đà, ngọt ngọt, mặn mặn, rất thích hợp ăn kèm với cơm trắng. Thịt kho tàu thường được chế biến trong các dịp lễ Tết hoặc bữa cơm gia đình. Đây là món ăn mang đậm hương vị truyền thống, vừa ngon vừa dễ làm.|お粥はベトナム人にとって、特に朝食としてよく食べられる馴染み深い料理です。この料理は、豚の内臓、豚バラ肉、特別なスパイスで調理された柔らかい白いお粥です。お粥はおいしくて濃厚な味わいで、軽食をとりながらも満腹感を得たい人に最適です。この料理は通常、ベトナムのコリアンダー、揚げたパンスティック、スパイスと一緒に食べられます。","Ngọt, béo mềm|甘く、濃厚で柔らかい",Nikujaga|肉じゃが,"Thịt heo, trứng, nước dừa, nước mắm, đường|豚肉、卵、ココナッツジュース、魚醤、砂糖",https://static-images.vnncdn.net/files/publish/2023/3/31/thit-kho-tau-2-183.jpg,Món Chính|主菜,Kansai|関西,Không có|ない,,,
Cháo Lòng|Chao Long,"Cháo lòng là món ăn quen thuộc của người Việt, đặc biệt là trong các bữa sáng. Món ăn này bao gồm cháo trắng mềm, được nấu cùng với lòng heo, thịt ba chỉ và các gia vị đặc trưng. Cháo lòng có hương vị thơm ngon, đậm đà, rất phù hợp cho những ai muốn ăn nhẹ nhưng vẫn đủ no. Món ăn này thường được ăn kèm với rau răm, quẩy và gia vị.|牛肉麺はベトナムの名物料理で、牛骨から取った甘いスープに柔らかいライスヌードルと新鮮な牛肉が添えられています。この料理は濃厚で少しスパイシーな味わいで、ハーブやもやしと一緒に出されることが多いです。牛肉麺は、屋台から高級レストランまで、どこでも愛されている伝統的な朝食料理です。","Thơm, béo nhẹ, cay tiêu|香り高く、ほんのり濃厚で胡椒の辛み",Okayu with Pork|豚入りお粥,"Gạo, nội tạng heo, hành lá, tiêu|米、豚の内臓、青ねぎ、胡椒",https://www.lorca.vn/wp-content/uploads/2023/07/menueditor_item_7a5a45784b004d8481e0b4c596ca8a47_1658502740016819622.webp,Món Chính|主菜,Tất cả|全部,Không có|ない,,,
Phở Bò|Pho Bo,"Phở bò là món ăn đặc sản của Việt Nam, với nước dùng thanh ngọt từ xương bò, kết hợp với bánh phở mềm mịn và thịt bò tươi ngon. Món ăn này có hương vị đậm đà, cay nhẹ, thường được ăn kèm với rau thơm và giá sống. Phở bò là món ăn sáng truyền thống, được yêu thích khắp mọi nơi, từ các quán ăn vỉa hè đến những nhà hàng sang trọng.|胡鶏は南部の名物料理で、柔らかい麺と澄んだ香りのよいスープが特徴で、豚肉、エビ、魚などと一緒に食べられることが多いです。この料理は味がマイルドで食べやすく、生野菜やレモンと一緒に食べられることが多いです。胡啤は南部で人気の料理で、朝食や夕食に食べられます。","Đậm đà, thơm mùi thảo mộc và gia vị|濃厚でハーブとスパイスの香り",Ramen (Shoyu)|ラーメン（醤油）,"Bánh phở, thịt bò, hành lá, gừng, quế, hồi, thảo quả, nước dùng bò|フォー、牛肉、青ねぎ、生姜、シナモン、スターアニス、ブラックカード、牛骨スープ",https://fohlafood.vn/cdn/shop/articles/bi-quyet-nau-phi-bo-ngon-tuyet-dinh.jpg?v=1712213789,Món Chính|主菜,Tohoku|東北,Không có|ない,,,
Hủ Tiếu|Hu Tieu,"Hủ tiếu là món ăn đặc sản của miền Nam, với sợi hủ tiếu mềm, nước dùng trong và thơm, thường được ăn kèm với thịt heo, tôm, hoặc cá. Món ăn này có hương vị nhẹ nhàng, dễ ăn, thường được ăn kèm với rau sống và chanh. Hủ tiếu là món ăn phổ biến ở miền Nam, được thưởng thức trong các bữa sáng hoặc buổi tối.|カオラウはホイアンの代表的な料理で、太くて歯ごたえのある麺、濃厚なスープ、豚肉、エビ、生野菜、ピーナッツを添えて出されます。この料理は他のベトナムの麺料理とは異なる独特の風味を持っています。カオラウは甘酸っぱい魚醤と一緒に食べられることが多く、素晴らしい組み合わせになります。ホイアンに来たら絶対に食べておきたい名物料理です。","Thanh ngọt, đậm vị|甘く濃厚な味わい",Ramen (Tonkotsu)|ラーメン（豚骨）,"Hủ tiếu, tôm, thịt heo, giá đỗ, nước dùng xương|フーティウ、エビ、豚肉、もやし、骨スープ",https://i1-giadinh.vnecdn.net/2023/05/15/Buoc-8-Thanh-pham-1-8-8366-1684125654.jpg?w=1020&h=0&q=100&dpr=1&fit=crop&s=qDCDua07MoEIbJ4Mdk0isw,Món Chính|主菜,Tonkotsu/Kyushu/Hakata|とんこつ/九州/博多,Không có|ない,,,
Cao Lầu|Cao Lau,"Cao lầu là món ăn đặc trưng của Hội An, với sợi mì dày, dai, nước dùng đậm đà, ăn kèm với thịt heo, tôm, rau sống và đậu phộng. Món ăn này mang lại hương vị độc đáo, khác biệt so với các món mì khác của Việt Nam. Cao lầu thường được ăn kèm với chén nước mắm chua ngọt, tạo nên sự hòa quyện tuyệt vời. Đây là món ăn đặc sản không thể bỏ qua khi đến Hội An.|ブン・ボー・フエは、柔らかい麺、牛骨から出た濃厚なスープ、珍しい牛肉、ソーセージ、血を組み合わせた中部地方の名物料理です。この料理は辛い味で、寒い日にぴったりです。フエの牛肉麺スープは、生野菜、もやし、レモンと一緒に提供されることが多く、新鮮な食材の調和のとれた組み合わせを生み出します。","Đậm đà, độc đáo|濃厚で独特な風味",Mì soba|そば,"Mì Cao Lầu, thịt heo, giá đỗ, rau sống, nước dùng|カオラウ麺、豚肉、もやし、生野菜、スープ",https://i1-giadinh.vnecdn.net/2023/03/13/Buoc-7-Thanh-pham-1-7-9577-1678700377.jpg?w=1020&h=0&q=100&dpr=1&fit=crop&s=UC5N8qQry0_qcAfn2PvYSA,Món Chính|主菜,Nagano/Yamagata|長野/山形,Không có|ない,,,
Bún Bò Huế|Bun Bo Hue,"Bún bò Huế là món ăn đặc sản của miền Trung, với sợi bún mềm, nước dùng đậm đà từ xương bò, kết hợp với thịt bò tái, chả, và huyết. Món ăn này có hương vị cay nồng, nóng hổi, thích hợp cho những ngày se lạnh. Bún bò Huế thường được ăn kèm với rau sống, giá, và chanh, tạo nên sự kết hợp hài hòa giữa các nguyên liệu tươi ngon.|バイン・カンは、噛みごたえのある麺と澄んだスープが特徴の、中部および南部地域の名物料理で、豚肉、魚、エビなどと一緒に調理されることが多いです。この料理は濃厚で甘い味わいで、朝食や家族の集まりに最適です。バイン・カンは簡単に作れて、美味しくて栄養価の高い料理です。","Cay nồng, đậm đà|辛くて濃厚",Spicy Beef Ramen|辛味牛肉ラーメン,"Bún, thịt bò, giò heo, mắm ruốc, sả, ớt, hành lá|米麺、牛肉、豚足、マムルオック、レモングラス、唐辛子、青ねぎ",https://upload.wikimedia.org/wikipedia/commons/0/00/Bun-Bo-Hue-from-Huong-Giang-2011.jpg,Món Chính|主菜,Chubu|中部,Không có|ない,,,
Bánh Canh|Banh Canh,"Bánh canh là món ăn đặc sản của miền Trung và miền Nam, với sợi bánh canh dai, nước dùng trong, thường được nấu với thịt heo, cá, hoặc tôm. Món ăn này có hương vị đậm đà, ngọt thanh, thích hợp cho các bữa sáng hoặc các dịp tụ họp gia đình. Bánh canh là món ăn dễ chế biến, vừa ngon vừa bổ dưỡng.|チャーハンは、冷たいご飯を肉、エビ、卵、スパイスと一緒に炒めた、シンプルですがおいしい料理です。この料理は風味豊かで食べやすく、手軽な食事や夕食に適しています。チャーハンは生野菜や醤油と一緒に出されることが多く、食材の完璧な組み合わせを生み出します。","Ngọt thanh, béo nhẹ|爽やかで甘く、ほんのり濃厚",Udon|うどん,"Bánh canh, tôm, thịt heo, cua, hành lá, tiêu|バインカン、エビ、豚肉、カニ、青ねぎ、胡椒",https://i1-giadinh.vnecdn.net/2023/03/13/Buoc-7-Thanh-pham-1-7-9577-1678700377.jpg?w=1020&h=0&q=100&dpr=1&fit=crop&s=UC5N8qQry0_qcAfn2PvYSA,Món Chính|主菜,Shikoku|四国,Không có|ない,,,
Cơm Chiên|Com Chien,"Cơm chiên là món ăn đơn giản nhưng rất ngon miệng, với cơm nguội chiên cùng thịt, tôm, trứng và các loại gia vị. Món ăn này có hương vị đậm đà, dễ ăn, thích hợp cho các bữa ăn nhanh hoặc bữa tối. Cơm chiên thường được ăn kèm với rau sống hoặc nước tương, tạo ra sự kết hợp hoàn hảo giữa các nguyên liệu.|ブンチャーはハノイの有名な料理で、新鮮な麺、おいしい焼き豚、甘酸っぱい魚醤、生野菜が添えられています。この料理は濃厚で美味しい味わいで、ランチやディナーに最適です。ブンチャーは揚げ春巻きと一緒に食べられることが多く、完璧で魅力的な食事となります。","Thơm, giòn nhẹ, đậm vị|香り高く、軽いサクサク感、濃厚",Yakimeshi|焼き飯,"Cơm, trứng, hành lá, cà rốt, tôm hoặc thịt, nước tương|ご飯、卵、青ねぎ、ニンジン、エビまたは肉、醤油",https://cdn.eva.vn/upload/3-2023/images/2023-07-28/com-chien-hai-san-ngon-hap-dan-cach-lam-don-gian-nhat-5-1690517403-179-width605height416.jpg,Món Chính|主菜,Kansai/Kyushu|関西/九州,Không có|ない,,,
Bún Chả|Bun Cha,"Bún chả là món ăn nổi tiếng của Hà Nội, gồm bún tươi, thịt chả nướng thơm ngon, ăn kèm với nước mắm chua ngọt và rau sống. Món ăn này có hương vị đậm đà, thơm ngon, rất phù hợp cho bữa trưa hoặc tối. Bún chả thường được ăn kèm với nem rán, tạo thành một bữa ăn đầy đủ và hấp dẫn.|三色甜麺醤はベトナムで人気のデザートで、緑豆の緑、ココナッツミルクの赤、ピーナッツの黄色の美しい色の3層の甘いスープで構成されています。この料理は甘くて涼しい味わいで、暑い夏の日にぴったりです。三色の甘いスープはかき氷と一緒に食べることが多く、甘いスープの層が絶妙な組み合わせを作り出します。","Thơm mùi nướng, chua ngọt hài hòa|香ばしい焼きの香りと甘酸っぱい調和",Yakitori|焼き鳥と麺,"Bún, thịt lợn nướng, nước mắm, giấm, đường, tỏi, ớt, rau sống|米麺、焼き豚、魚醤、酢、砂糖、ニンニク、唐辛子、生野菜",https://mia.vn/media/uploads/blog-du-lich/bun-cha-chan-ha-noi-02-1720484444.jpg,Món Chính|主菜,Tất cả|全部,Không có|ない,,,
Chè Ba Màu|Che Ba Mau,"Chè ba màu là món ăn tráng miệng phổ biến ở Việt Nam, gồm ba lớp chè với màu sắc đẹp mắt: xanh lá cây từ đậu xanh, đỏ từ nước cốt dừa, và vàng từ đậu phộng. Món ăn này có vị ngọt thanh, mát lạnh, thích hợp cho những ngày hè nóng bức. Chè ba màu thường được ăn kèm với đá bào, tạo nên sự kết hợp tuyệt vời giữa các lớp chè.|バイン・テットは南部の人々の伝統的な料理で、特に旧正月の時期に人気があります。このケーキは長い形で、ドンの葉で包まれ、もち米が詰められ、肉、インゲン豆、バナナなどが入っています。バイン・テットは、肉の濃厚で脂っこい味と、緑豆の甘み、ドンの葉の香りが融合した料理です。このケーキはピクルスと一緒に食べられることが多く、素晴らしい組み合わせを生み出します。","Ngọt, béo nhẹ|甘くてほんのり濃厚",Anmitsu|あんみつ,"Đậu đỏ, đậu xanh, thạch, nước cốt dừa, đường|小豆、緑豆、ゼリー、ココナッツミルク、砂糖",https://eggyolk.vn/wp-content/uploads/2024/10/cac-loai-che-9-768x1152.jpg,Tráng Miệng|デザート,Kanto|関東,Không có|ない,,,
